episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,timesteps_this_iter,done,timesteps_total,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,sampler_perf/mean_env_wait_ms,sampler_perf/mean_processing_ms,sampler_perf/mean_inference_ms,info/num_steps_trained,info/num_steps_sampled,info/sample_time_ms,info/load_time_ms,info/grad_time_ms,info/update_time_ms,perf/cpu_util_percent,perf/ram_util_percent,info/learner/default_policy/cur_kl_coeff,info/learner/default_policy/cur_lr,info/learner/default_policy/total_loss,info/learner/default_policy/policy_loss,info/learner/default_policy/vf_loss,info/learner/default_policy/vf_explained_var,info/learner/default_policy/kl,info/learner/default_policy/entropy,info/learner/default_policy/entropy_coeff
-3246.0,-18596.0,-7584.976744186047,1001.0,4,4000,False,44000,43,11,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-29-13,1565594953,12.078888177871704,133.55056524276733,68841,omnisky,10.12.131.114,133.55056524276733,44000,11,0.6014279549919955,0.10620554067700132,0.6318872638578544,43648,44000,5023.046,2.253,6873.189,8.487,31.641176470588242,16.341176470588234,0.30000001192092896,4.999999873689376e-05,116977.81,-0.030358115,116977.836,1.1984379e-05,0.011775111,1.8916906,0.0
-3246.0,-18596.0,-7277.787234042553,1001.0,4,4000,False,48000,47,12,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-29-25,1565594965,11.480137348175049,145.03070259094238,68841,omnisky,10.12.131.114,145.03070259094238,48000,12,0.5974580411296377,0.10590503806702703,0.6290543691968533,47616,48000,4971.504,2.3,6857.068,8.757,32.175,16.31875,0.30000001192092896,4.999999873689376e-05,48271.23,-0.032518428,48271.266,1.8427449e-05,0.013350234,1.8664453,0.0
-3246.0,-18596.0,-7073.450980392156,1001.0,4,4000,False,52000,51,13,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-29-36,1565594976,11.740240573883057,156.77094316482544,68841,omnisky,10.12.131.114,156.77094316482544,52000,13,0.5939356035289199,0.10563903806813664,0.6265037598994262,51584,52000,4931.006,2.364,6836.512,6.863,32.11764705882353,16.335294117647063,0.30000001192092896,4.999999873689376e-05,89475.086,-0.023917962,89475.1,8.565764e-06,0.01203698,1.859796,0.0
-3246.0,-18596.0,-6838.145454545454,1001.0,4,4000,False,56000,55,14,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-29-48,1565594988,11.503571271896362,168.2745144367218,68841,omnisky,10.12.131.114,168.2745144367218,56000,14,0.5906353533137506,0.10536644890559996,0.6240913090340402,55552,56000,4875.262,2.385,6810.043,6.639,31.95882352941177,16.305882352941175,0.30000001192092896,4.999999873689376e-05,63092.848,-0.0320674,63092.875,1.5347234e-05,0.01557627,1.8153583,0.0
-3246.0,-18596.0,-6624.254237288135,1001.0,4,4000,False,60000,59,15,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-30-00,1565595000,12.02419114112854,180.29870557785034,68841,omnisky,10.12.131.114,180.29870557785034,60000,15,0.5876988162960389,0.10513043056202359,0.6219881648823216,59520,60000,4831.179,2.509,6866.331,6.483,31.647058823529413,16.388235294117646,0.30000001192092896,4.999999873689376e-05,40691.152,-0.02581789,40691.168,0.00016782554,0.012445444,1.8161722,0.0
-3241.0,-18596.0,-6448.920634920635,1001.0,4,4000,False,64000,63,16,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-30-12,1565595012,11.924311637878418,192.22301721572876,68841,omnisky,10.12.131.114,192.22301721572876,64000,16,0.5850927298461315,0.1049448785215816,0.6201907998896171,63488,64000,4867.723,2.535,6857.686,6.704,31.77647058823529,16.364705882352943,0.30000001192092896,4.999999873689376e-05,43507.72,-0.030220082,43507.742,4.464388e-05,0.014213962,1.8068125,0.0
-3048.0,-18596.0,-6268.731343283582,1001.0,4,4000,False,68000,67,17,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-30-24,1565595024,11.778019189834595,204.00103640556335,68841,omnisky,10.12.131.114,204.00103640556335,68000,17,0.5826780140727159,0.10478413581678941,0.6185664663894458,67456,68000,4879.926,2.755,6842.712,6.624,31.323529411764707,16.358823529411765,0.30000001192092896,4.999999873689376e-05,27264.924,-0.031901293,27264.955,0.00027194907,0.013477,1.8033192,0.0
-3042.0,-18596.0,-6122.859154929577,1001.0,4,4000,False,72000,71,18,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-30-36,1565595036,12.033182382583618,216.03421878814697,68841,omnisky,10.12.131.114,216.03421878814697,72000,18,0.5805393790985701,0.10464444295059734,0.6171917469116712,71424,72000,4887.606,2.846,6887.856,6.391,31.552941176470586,16.341176470588238,0.30000001192092896,4.999999873689376e-05,36737.4,-0.03270681,36737.43,0.027416,0.015482974,1.7786278,0.0
-2464.0,-18596.0,-5954.68,1001.0,4,4000,False,76000,75,19,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-30-48,1565595048,11.939056873321533,227.9732756614685,68841,omnisky,10.12.131.114,227.9732756614685,76000,19,0.5786108654332265,0.10452680075074616,0.6159761314106597,75392,76000,4905.544,2.744,6884.924,6.465,31.164705882352944,16.370588235294115,0.30000001192092896,4.999999873689376e-05,18144.54,-0.03232784,18144.564,0.031405542,0.014503825,1.7823018,0.0
-2464.0,-18596.0,-5819.278481012659,1001.0,4,4000,False,80000,79,20,cc540e0d422c4c14948f334a84dba876,2019-08-12_15-31-00,1565595060,11.74130916595459,239.7145848274231,68841,omnisky,10.12.131.114,239.7145848274231,80000,20,0.5767812515641836,0.10440275813994353,0.6148227211455543,79360,80000,4906.044,2.781,6897.706,6.352,31.00588235294118,16.317647058823532,0.30000001192092896,4.999999873689376e-05,21699.37,-0.032523464,21699.396,0.06630014,0.011744916,1.7661121,0.0
